Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,offensive-rebounding-pct,total-rebounding-percentage,three-point-pct,opponent-shooting-pct,Class,R64,R32,S16,E8,FF,CG,
2017,Connecticut,64.8976,305,105.362,154,98.6309,63,6.73137,93,0, 27.6,50.7,35.4,39.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,Coppin State,68.6931,126,93.6657,331,115.412,336,-21.7467,343,0, 25.5,45.9,31.7,47.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Cornell,69.5643,91,99.6715,259,108.345,246,-8.67358,263,0, 20.2,48.0,33.3,45.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,Creighton,70.8829,48,115.639,32,96.0487,40,19.5902,27,6, 21.7,48.7,40.1,43.8,R64,YES,NO,NO,NO,NO,NO,
2017,Dartmouth,67.2934,214,99.1684,267,112.132,309,-12.9633,305,0, 24.4,50.5,35.2,47.0,DNQ,NO,NO,NO,NO,NO,NO,
2017,Davidson,68.3537,156,108.467,99,100.653,91,7.81452,84,0, 23.2,49.6,34.1,43.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Dayton,68.5788,138,112.3,49,96.6262,45,15.6735,36,7, 22.9,50.1,38.7,41.3,R64,YES,NO,NO,NO,NO,NO,
2017,Delaware,64.7293,309,97.317,298,108.405,248,-11.0879,289,0, 25.1,49.3,30.1,45.4,DNQ,NO,NO,NO,NO,NO,NO,
2017,Delaware St,65.6551,279,94.2467,329,114.102,327,-19.855,339,0, 25.2,45.0,35.1,44.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,Denver,66.6617,244,107.558,117,109.096,262,-1.53764,189,0, 26.1,53.1,40.2,44.5,DNQ,NO,NO,NO,NO,NO,NO,
2017,DePaul,67.5355,203,103.443,188,104.472,169,-1.02928,183,0, 28.4,49.0,32.6,46.6,DNQ,NO,NO,NO,NO,NO,NO,
2017,Detroit,72.5376,19,102.197,217,114.525,331,-12.3278,302,0, 25.3,46.7,37.4,50.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,Drake,69.5144,94,102.886,200,111.074,300,-8.18788,260,0, 24.6,47.0,34.6,46.4,DNQ,NO,NO,NO,NO,NO,NO,
2017,Drexel,70.2154,68,102.85,203,110.009,285,-7.15902,247,0, 29.3,49.2,34.9,46.6,DNQ,NO,NO,NO,NO,NO,NO,
2017,Duke,67.9699,182,120.988,6,95.8991,39,25.0887,12,2, 30.2,52.0,37.5,43.3,R32,YES,YES,NO,NO,NO,NO,
2017,Duquesne,69.952,76,101.892,222,107.088,220,-5.19614,221,0, 26.0,49.4,33.4,43.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,E Carolina,66.8068,237,97.0692,301,98.251,61,-1.18178,184,0, 29.1,50.4,32.0,39.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,E Tenn St,70.0234,71,107.974,109,96.4902,44,11.4836,64,13, 27.8,52.6,38.2,41.5,R64,YES,NO,NO,NO,NO,NO,
2017,E Illinois,68.4805,144,100.072,253,104.931,181,-4.85832,219,0, 28.5,47.9,36.6,43.7,DNQ,NO,NO,NO,NO,NO,NO,
2017,E Kentucky,67.4467,213,98.369,283,107.839,236,-9.47048,274,0, 23.3,46.1,32.3,45.0,DNQ,NO,NO,NO,NO,NO,NO,
